config_id,cpu_model,cpu_sockets,cpu_cores_per_socket,ram_gb,disks,miran_price,selectel_price,selectel_currency,selectel_price_period,selectel_plan_id,selectel_match_score,selectel_stock_count,selectel_match_count,reg_cloud_price,reg_cloud_currency,reg_cloud_price_period,reg_cloud_plan_id,reg_cloud_match_score,reg_cloud_stock_count,reg_cloud_match_count,timeweb_price,timeweb_currency,timeweb_price_period,timeweb_plan_id,timeweb_match_score,timeweb_stock_count,timeweb_match_count
MIR-084,Intel Xeon E-2356G,1,6,64,2×2000 ГБ NVMe,20000.0,,,,,,,,,,,,,,,,,,,,,
MIR-085,Intel Xeon E-2356G,1,6,128,2×2000 ГБ NVMe,23000.0,,,,,,,,,,,,,,,,,,,,,
MIR-086,Intel Xeon E-2378G,1,8,32,2×480 ГБ SSD,14600.0,,,,,,,,,,,,,,,,,,,,,
MIR-087,Intel Xeon E-2378G,1,8,32,2×1000 ГБ SSD,16200.0,,,,,,,,,,,,,,,,,,,,,
MIR-088,Intel Xeon E-2378G,1,8,32,2×1000 ГБ NVMe,16500.0,,,,,,,,,,,,,,,,,,,,,
MIR-089,Intel Xeon E-2378G,1,8,64,2×1000 ГБ SSD,17600.0,,,,,,,,,,,,,,,,,,,,,
MIR-090,Intel Xeon E-2378G,1,8,64,2×2000 ГБ SSD,19900.0,,,,,,,,,,,,,,,,,,,,,
MIR-091,Intel Xeon E-2378G,1,8,64,2×1000 ГБ NVMe,18100.0,,,,,,,,,,,,,,,,,,,,,
MIR-092,Intel Xeon E-2378G,1,8,64,2×2000 ГБ NVMe,21100.0,,,,,,,,,,,,,,,,,,,,,
MIR-093,Intel Xeon E-2378G,1,8,128,2×1000 ГБ SSD,20500.0,,,,,,,,,,,,,,,,,,,,,
MIR-094,Intel Xeon E-2378G,1,8,128,2×2000 ГБ SSD,22600.0,,,,,,,,,,,,,,,,,,,,,
MIR-095,Intel Xeon E-2378G,1,8,128,2×1000 ГБ NVMe,20750.0,,,,,,,,,,,,,,,,,,,,,
MIR-096,Intel Xeon E-2378G,1,8,128,2×2000 ГБ NVMe,23800.0,,,,,,,,,,,,,,,,,,,,,
MIR-097,Intel Xeon E-2386G,1,6,32,2×1000 ГБ NVMe,,18400.0,RUB,month,EL42-NVMe,100.0,18.0,1.0,,,,,,,,,,,,,,
MIR-098,Intel Xeon E-2386G,1,6,64,2×1000 ГБ SSD,,,,,,,,,,,,,,,,,,,,,,
MIR-099,Intel Xeon E-2386G,1,6,64,2×2000 ГБ SSD,,,,,,,,,,,,,,,,,,,,,,
MIR-100,Intel Xeon E-2386G,1,6,64,2×1000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,,
MIR-101,Intel Xeon E-2386G,1,6,64,2×4000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,,
MIR-102,Intel Xeon E-2386G,1,6,128,2×4000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,,
MIR-103,Intel Xeon E-2386G,1,6,128,2×1000 ГБ SSD,,,,,,,,,,,,,,,,,,,,,,
MIR-104,Intel Xeon E-2386G,1,6,128,2×2000 ГБ SSD,,,,,,,,,,,,,,,,,,,,,,
MIR-105,Intel Xeon E-2388G,1,8,32,2×1000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,,
MIR-106,Intel Xeon E-2388G,1,8,64,2×1000 ГБ NVMe,,23100.0,RUB,month,EL45-NVMe,100.0,22.0,1.0,,,,,,,,,,,,,,
MIR-107,Intel Xeon E-2388G,1,8,64,2×2000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,,
MIR-108,Intel Xeon E-2388G,1,8,128,2×2000 ГБ NVMe,,,,,,,,,,,,,,,,,,,,,,
MIR-109,Intel Xeon E-2388G,1,8,128,2×4000 ГБ NVMe,,33700.0,RUB,month,EL46-NVMe,100.0,2.0,1.0,,,,,,,,,,,,,,
MIR-110,AMD Ryzen 9 7950X,1,16,32,2×1000 ГБ SSD,23700.0,,,,,,,,20300.0,RUB,month,RD-58748,100.0,,1.0,,,,,,,
MIR-111,AMD Ryzen 9 7950X,1,16,32,2×1000 ГБ NVMe,23100.0,,,,,,,,20300.0,RUB,month,RD-58748,100.0,,1.0,,,,,,,
MIR-112,AMD Ryzen 9 7950X,1,16,64,2×1000 ГБ NVMe,25300.0,,,,,,,,,,,,,,,,,,,,,
MIR-113,AMD Ryzen 9 7950X,1,16,64,2×2000 ГБ SSD,27100.0,,,,,,,,,,,,,,,,,,,,,
MIR-114,AMD Ryzen 9 7950X,1,16,128,2×1000 ГБ NVMe,27700.0,,,,,,,,,,,,,,,,,,,,,
MIR-115,AMD Ryzen 9 7950X,1,16,128,2×2000 ГБ SSD,29500.0,,,,,,,,,,,,,,,,,,,,,
MIR-116,AMD Ryzen 9 7950X,1,16,128,2×2000 ГБ NVMe,30700.0,,,,,,,,,,,,,,,,,,,,,
MIR-117,Intel Xeon Silver 4214R,2,12,64,2×1000 ГБ SSD,32208.0,,,,,,,,,,,,,,,,,,,,,
MIR-118,Intel Xeon Silver 4214R,2,12,64,2×1900 ГБ SSD,34526.0,,,,,,,,,,,,,,,,,,,,,
MIR-119,Intel Xeon Silver 4214R,2,12,64,2×1000 ГБ NVMe,39894.0,,,,,,,,,,,,,,,,,,,,,
MIR-120,Intel Xeon Silver 4214R,2,12,64,2×2000 ГБ NVMe,42944.0,,,,,,,,,,,,,,,,,,,,,
MIR-121,Intel Xeon Silver 4214R,2,12,128,2×480 ГБ SSD,33550.0,,,,,,,,,,,,,,,,,,,,,
